pct_navigate,pct_segment,pct_annotate,nav_seg_ratio,seg_to_nav,seg_to_seg,events_per_session,log_tempo,total_events,user,type,competency
0.5649432534678437,0.0769230769230769,0.0,7.344262295081967,0.4827586206896552,0.3448275862068966,15.86,0.4718768272228005,793,E01,axonOnAxon,0.661
0.360082304526749,0.3148148148148148,0.0,1.1437908496732028,0.396551724137931,0.4655172413793103,10.125,0.6127502393538633,486,E07,axonOnAxon,0.586
0.6921119592875318,0.0852417302798982,0.0,8.119402985074627,0.7096774193548387,0.2258064516129032,16.040816326530614,0.3169982323637571,786,E05,axonOnAxon,0.638
0.5229226361031518,0.2636103151862464,0.0,1.983695652173913,0.5,0.3395061728395062,13.169811320754716,0.4956103830134296,698,E03,axonOnAxon,0.69
0.5348525469168901,0.3284182305630027,0.0,1.6285714285714286,0.4862385321100917,0.4587155963302752,14.627450980392156,0.6037693673230549,746,E06,axonOnAxon,0.649
0.6953125,0.234375,0.0,2.966666666666667,0.6571428571428571,0.3333333333333333,10.448979591836734,0.5567546267017582,512,E04,axonOnAxon,0.621
0.514480408858603,0.2453151618398637,0.0,2.097222222222222,0.5350877192982456,0.3508771929824561,11.74,0.2926695499100653,587,E08,axonOnAxon,0.586
0.6568690095846645,0.111182108626198,0.0025559105431309,5.908045977011494,0.6746987951807228,0.1626506024096385,71.13636363636364,0.4206820751653876,1565,U09,axonOnAxon,0.579
0.5913875598086125,0.291866028708134,0.0,2.026229508196721,0.5642857142857143,0.325,24.88095238095238,0.5001690007806754,1045,U08,axonOnDendrite,0.786
0.5880322209436134,0.3043728423475259,0.0,1.9319470699432892,0.5436507936507936,0.371031746031746,26.73846153846154,0.486737885680097,1738,S14,axonOnDendrite,0.662
0.613047363717605,0.3458445040214477,0.0,1.772609819121447,0.4709141274238227,0.5235457063711911,15.32876712328767,0.1655144950514719,1119,S01,axonOnDendrite,0.779
0.408812729498164,0.4504283965728274,0.0,0.907608695652174,0.4306784660766962,0.4837758112094395,16.6734693877551,0.3625576323158326,817,S02,axonOnDendrite,0.75
0.5198473282442748,0.3106870229007633,0.0,1.6732186732186731,0.4692307692307692,0.4333333333333333,24.25925925925926,0.3155404381428411,1310,S08,axonOnDendrite,0.781
0.4484144707458687,0.4912907548012505,0.0004466279589102,0.9127272727272728,0.3848314606741573,0.5720973782771536,42.24528301886792,0.3144456526189175,2239,S11,axonOnDendrite,0.681
0.5959731543624162,0.3657718120805369,0.0,1.6293577981651377,0.508637236084453,0.4491362763915547,27.09090909090909,0.2859306067648774,1490,S10,axonOnDendrite,0.582
0.4291158536585366,0.4992378048780488,0.0,0.8595419847328244,0.4038155802861685,0.5564387917329093,26.24,0.7168636382593885,1312,S09,axonOnDendrite,0.701
0.653870761356366,0.2296865003198976,0.0,2.846796657381616,0.4195402298850574,0.4482758620689655,31.26,0.4662465690005125,1563,S07,axonOnDendrite,0.691
0.6151568975725281,0.3303730017761989,0.0,1.8620071684587811,0.5544933078393881,0.4168260038240918,30.70909090909091,0.3886579251358952,1689,S17,axonOnDendrite,0.697
0.4584070796460177,0.4646017699115044,0.0,0.9866666666666666,0.4814814814814814,0.4732510288065844,22.6,0.6192314745059577,1130,S16,axonOnDendrite,0.697
0.3675623800383877,0.555662188099808,0.0,0.6614853195164075,0.3086876155268022,0.6561922365988909,20.431372549019606,0.4962194975046916,1042,S13,axonOnDendrite,0.646
0.5890097309673726,0.1831711505437893,0.0,3.215625,0.5249169435215947,0.3388704318936877,47.21621621621622,0.1248691015707985,1747,S12,axonOnDendrite,0.6
0.5147591921284309,0.4220611082340756,0.0,1.2196319018404909,0.3793969849246231,0.5904522613065326,38.62,0.4485246639482391,1931,S19,axonOnDendrite,0.788
0.4769585253456221,0.4631336405529954,0.0023041474654377,1.0298507462686568,0.4619354838709677,0.4903225806451612,29.42372881355932,0.8514321318475304,1736,S21,axonOnDendrite,0.359
0.476990504017531,0.3696128560993426,0.0,1.290513833992095,0.3084886128364389,0.5175983436853002,26.84313725490196,0.5116252936451055,1369,S23,axonOnDendrite,0.672
0.7227662178702571,0.2276621787025703,0.0,3.174731182795699,0.4845070422535211,0.4901408450704225,32.03921568627451,0.3947411228955074,1634,S25,axonOnDendrite,0.662
0.5744920993227991,0.3007900677200903,0.0,1.9099437148217635,0.5049115913555993,0.418467583497053,30.55172413793104,0.2934154862458906,1772,S27,axonOnDendrite,0.768
0.3131782945736434,0.4573643410852713,0.0,0.6847457627118645,0.3129770992366412,0.5916030534351145,12.647058823529411,0.4111157663407701,645,S28,axonOnDendrite,0.638
0.4052924791086351,0.4415041782729805,0.0,0.917981072555205,0.3490725126475548,0.5446880269814502,27.615384615384617,0.5469646273340639,1436,S29,axonOnDendrite,0.567
0.6017777777777777,0.0604444444444444,0.0,9.955882352941176,0.5932203389830508,0.3559322033898305,23.4375,0.5581861623816452,1125,E01,axonOnDendriteV3,0.81
0.3599615014436959,0.4003849855630413,0.0,0.8990384615384617,0.3580901856763925,0.5517241379310345,20.78,0.7210055462510055,1039,E07,axonOnDendriteV3,0.881
0.6858725761772854,0.1379501385041551,0.0,4.971887550200803,0.5941422594142259,0.309623430962343,32.232142857142854,0.4907249397987118,1805,E05,axonOnDendriteV3,0.69
0.5724540152534769,0.3068640646029609,0.0,1.865497076023392,0.4837712519319938,0.3817619783616692,40.52727272727272,0.530039773086723,2229,E03,axonOnDendriteV3,0.793
0.5646606914212549,0.2516005121638924,0.0,2.2442748091603053,0.5,0.4157303370786517,31.877551020408163,0.3746621714149124,1562,E06,axonOnDendriteV3,0.672
0.6246819338422391,0.2531806615776081,0.0,2.467336683417085,0.5562130177514792,0.3964497041420118,15.72,0.6097655249737799,786,E04,axonOnDendriteV3,0.644
0.5674603174603174,0.2354497354497354,0.0,2.410112359550562,0.4935897435897436,0.3846153846153846,15.75,0.5777363654402294,756,E02,axonOnDendriteV3,0.448
