n_events,n_sessions,evt_per_session,pct_N,pct_S,pct_A,pct_O,bg_NN,bg_NS,bg_SN,bg_SS,tg_NSN,tg_SNS,tg_NNN,tg_SSS,tg_NSS,tg_SSN,tg_NNS,runN_mean,runN_max,runS_mean,runS_max,entropy,dt_med,dt_longfrac,total_rot_deg,n_rot,viewpoint_div,total_pan,assignee,cohort
2012,77,26.12987012987013,0.3633200795228628,0.5924453280318092,0.0,0.044234592445328,0.1550387596899224,0.1963824289405684,0.1855297157622739,0.3891472868217054,0.0640473627556512,0.1141011840688912,0.0705059203444564,0.2691065662002153,0.1221743810548977,0.1157158234660925,0.0753498385360602,1.7742718446601942,13,2.7981220657276995,14,0.8159286712034268,2.128000020980835,0.0968410150181253,2659.1651898343453,29,114.9555598793822,31655991.73610064,S03,student
2614,94,27.80851063829787,0.4123947972456006,0.5527926549349655,0.0007651109410864,0.0340474368783473,0.1976190476190476,0.2166666666666666,0.2123015873015873,0.3158730158730158,0.0630667765869744,0.1360263808738664,0.1191261335531739,0.1549876339653751,0.1492168178070898,0.1422093981863149,0.0791426215993404,1.8780487804878048,18,2.3884297520661155,12,0.8135392181548865,1.6740000247955322,0.1067460317460317,1445.8953315077354,14,120.7579147189666,47609265.81944187,S05,student
1480,70,21.142857142857142,0.4094594594594594,0.547972972972973,0.0006756756756756,0.0418918918918918,0.2092198581560283,0.1843971631205673,0.1872340425531914,0.3439716312056737,0.0634328358208955,0.0985074626865671,0.1186567164179104,0.2149253731343283,0.117910447761194,0.1141791044776119,0.0776119402985074,1.9868852459016395,20,2.6765676567656764,16,0.833076423975458,2.1470000743865967,0.2015669515669515,2027.352036706912,18,124.06868415932011,11187405.930610998,S20,student
708,30,23.6,0.559322033898305,0.4011299435028249,0.0,0.03954802259887,0.3761061946902654,0.1607669616519174,0.1666666666666666,0.2300884955752212,0.0725308641975308,0.0601851851851851,0.2654320987654321,0.1419753086419753,0.0817901234567901,0.0895061728395061,0.095679012345679,3.0229007633587788,17,2.290322580645161,17,0.8191525151916541,2.124000072479248,0.1822222222222222,1376.940410611851,14,126.19388721857732,3355135.164048118,S22,student
338,36,9.38888888888889,0.5266272189349113,0.4112426035502958,0.0,0.0621301775147929,0.2913907284768212,0.2251655629139073,0.1920529801324503,0.1887417218543046,0.1165413533834586,0.0864661654135338,0.1654135338345864,0.1090225563909774,0.0902255639097744,0.0714285714285714,0.1090225563909774,2.1707317073170733,8,1.8051948051948048,11,0.8757550083547667,1.7419999837875366,0.0894039735099337,166.70672898019194,2,0.0,2095039.9280351475,S24,student
802,50,16.04,0.371571072319202,0.5897755610972568,0.0,0.0386533665835411,0.1662234042553191,0.2087765957446808,0.1994680851063829,0.363031914893617,0.0854700854700854,0.1324786324786324,0.094017094017094,0.2464387464387464,0.1054131054131054,0.1039886039886039,0.0769230769230769,1.7426900584795322,17,2.672316384180791,12,0.8050143671254492,1.8199999332427976,0.1176470588235294,1053.7513523922596,12,90.46073570872456,16866306.104399282,S26,student
973,53,18.358490566037737,0.5107913669064749,0.4285714285714285,0.0,0.0606372045220966,0.3163043478260869,0.1847826086956521,0.1739130434782608,0.2304347826086956,0.077277970011534,0.077277970011534,0.2029988465974625,0.126874279123414,0.0934256055363321,0.0934256055363321,0.1014994232987312,2.51010101010101,16,2.160621761658031,25,0.8762310434906688,2.0200001001358032,0.1550218340611353,1131.4739474421726,13,122.64543580029532,17332195.906159367,S30,student
