n_events,n_sessions,evt_per_session,pct_N,pct_S,pct_A,pct_O,bg_NN,bg_NS,bg_SN,bg_SS,tg_NSN,tg_SNS,tg_NNN,tg_SSS,tg_NSS,tg_SSN,tg_NNS,runN_mean,runN_max,runS_mean,runS_max,entropy,dt_med,dt_longfrac,total_rot_deg,n_rot,mean_rot,motif_0,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,assignee,cohort,promoted
2607,90,28.966666666666665,0.4963559647103951,0.4518603759110088,0.0003835826620636,0.0514000767165324,0.3289630512514899,0.1613031386571315,0.1589193484306714,0.2646007151370679,0.0663370416151627,0.0663370416151627,0.2356819118252987,0.1714050267820354,0.0811701689328388,0.0824062628759785,0.0918829831067161,2.813043478260869,50,2.4592901878914404,18,0.8622068473959714,1.930999994277954,0.152766639935846,515.7056830704304,6,85.95094717840506,0.1475555555555555,0.0702222222222222,0.0551111111111111,0.0102222222222222,0.0871111111111111,0.0022222222222222,0.1088888888888888,0.2893333333333333,0.0515555555555555,0.1777777777777777,E01,expert,0
2922,89,32.831460674157306,0.3668720054757016,0.5848733744010951,0.0003422313483915,0.0479123887748117,0.1659018708083303,0.1891987292622661,0.1835510060007059,0.3808683374514648,0.0725218658892128,0.1038629737609329,0.0834548104956268,0.2645772594752186,0.1089650145772594,0.1056851311953352,0.0765306122448979,1.8169491525423729,27,2.797054009819967,37,0.8298878045495194,1.7660000324249268,0.119461183977313,967.9330292121248,15,64.52886861414166,0.2223085891954916,0.1554605518849592,0.0563544500582977,0.0097162844928099,0.0753983676642052,0.0019432568985619,0.0571317528177225,0.1235911387485425,0.0516906335017489,0.2464049747376603,E02,expert,0
1556,65,23.93846153846154,0.3129820051413882,0.5822622107969152,0.0019280205655526,0.1028277634961439,0.1334674714956405,0.1763916834339369,0.1582830315224681,0.3661971830985915,0.061711079943899,0.1002805049088359,0.0687237026647966,0.2454417952314165,0.1002805049088359,0.0883590462833099,0.0631136044880785,1.6909722222222223,9,2.696428571428572,20,0.924425191550948,1.8799998760223389,0.1316319677635997,440.3623273929695,6,73.39372123216158,0.1764252696456086,0.1271186440677966,0.0300462249614791,0.0092449922958397,0.1825885978428351,0.0038520801232665,0.0292758089368258,0.1117103235747303,0.0808936825885978,0.24884437596302,E03,expert,0
3719,109,34.11926605504587,0.3915030922290938,0.5732723850497445,0.0008066684592632,0.0344178542618983,0.213573407202216,0.1664819944598338,0.1739612188365651,0.3861495844875346,0.0634104541559554,0.0914024564410168,0.1339617252213653,0.2770636960868323,0.0991145387032276,0.1019708654670094,0.0714081690945444,2.1411764705882352,22,3.0943396226415096,16,0.8078076776985151,1.9019999504089355,0.166619598983338,1223.3476046205806,17,71.96162380121062,0.140596469872185,0.1110772976262933,0.1250760803408399,0.0100426049908703,0.0614729153986609,0.0036518563603164,0.1153377967133292,0.1755934266585514,0.0340839926962872,0.2230675593426658,E04,expert,0
3407,94,36.24468085106383,0.3736425007337834,0.577927795714705,0.0005870267097152,0.0478426768417963,0.1974041654089948,0.1645034711741624,0.1651071536371868,0.3887715061877452,0.0534327430879155,0.0882261571916744,0.1227089158123641,0.2746194470332401,0.0969245107176141,0.1053122087604846,0.0692761727244485,2.111111111111111,30,3.0385802469135803,48,0.8345176947679114,1.6504998207092283,0.1264543784445805,1125.0371104523886,21,53.57319573582803,0.1542518127883981,0.1608437705998681,0.063941990771259,0.008569545154911,0.0955833882663151,0.003295978905735,0.1001977587343441,0.1321687541199736,0.042847725774555,0.2382992748846407,E05,expert,0
2800,82,34.14634146341464,0.36,0.5910714285714286,0.0003571428571428,0.0485714285714285,0.1791758646063281,0.1725533480500368,0.1655629139072847,0.3925680647534952,0.0606980273141122,0.0906676783004552,0.1050834597875569,0.2746585735963581,0.101669195751138,0.097875569044006,0.0720789074355083,1.96875,40,2.9086115992970125,51,0.8283404258033159,2.055999994277954,0.1704334938866246,2314.8352154426834,31,74.67210372395753,0.1610169491525423,0.1408393866020984,0.0984665052461662,0.0290556900726392,0.1198547215496368,0.0020177562550443,0.0790960451977401,0.1460855528652138,0.0310734463276836,0.1924939467312348,E06,expert,0
3257,132,24.674242424242426,0.3411114522566779,0.6011667178385017,0.000307031010132,0.0574147988946883,0.1744,0.16256,0.1568,0.40352,0.0631473438022051,0.0885399264951553,0.107584363514868,0.2876712328767123,0.0928833945873705,0.0878717006348145,0.0671566989642499,2.0054151624548737,34,3.0786163522012577,50,0.8393481149929823,2.0040000677108765,0.1391388174807198,474.61333732016567,6,79.10222288669428,0.1695906432748538,0.1432748538011695,0.0676169590643274,0.0054824561403508,0.1260964912280701,0.0010964912280701,0.0413011695906432,0.1692251461988304,0.0489766081871345,0.2273391812865497,E07,expert,0
3993,124,32.20161290322581,0.3871775607312797,0.572251440020035,0.0002504382669671,0.040320560981718,0.2109072111656758,0.1692943913155854,0.1672266735590591,0.3802016024812613,0.0608811748998664,0.089452603471295,0.131909212283044,0.2643524699599466,0.1014686248331108,0.1033377837116154,0.0761014686248331,2.1502086230876216,17,2.9713914174252274,36,0.8183411245614669,1.9220000505447388,0.1349289847448711,1051.7223123594845,12,87.64352602995704,0.179172610556348,0.1312410841654779,0.0935805991440798,0.009700427960057,0.0764621968616262,0.0002853067047075,0.1032810271041369,0.1657631954350927,0.0308131241084165,0.209700427960057,E08,expert,0
2012,77,26.12987012987013,0.3633200795228628,0.5924453280318092,0.0,0.044234592445328,0.1550387596899224,0.1963824289405684,0.1855297157622739,0.3891472868217054,0.0640473627556512,0.1141011840688912,0.0705059203444564,0.2691065662002153,0.1221743810548977,0.1157158234660925,0.0753498385360602,1.7742718446601942,13,2.7981220657276995,14,0.8159286712034268,2.128000020980835,0.0968410150181253,598.0335312722306,10,59.803353127223055,0.1769499417927823,0.1187427240977881,0.0302677532013969,0.0081490104772991,0.0832363213038416,0.0,0.0372526193247962,0.0948777648428405,0.0465657741559953,0.4039580908032596,S03,student,1
2614,94,27.80851063829787,0.4123947972456006,0.5527926549349655,0.0007651109410864,0.0340474368783473,0.1976190476190476,0.2166666666666666,0.2123015873015873,0.3158730158730158,0.0630667765869744,0.1360263808738664,0.1191261335531739,0.1549876339653751,0.1492168178070898,0.1422093981863149,0.0791426215993404,1.8780487804878048,18,2.3884297520661155,12,0.8135392181548865,1.6740000247955322,0.1067460317460317,129.5621179919165,2,64.78105899595825,0.3371937639198218,0.0476614699331848,0.0418708240534521,0.0022271714922048,0.0712694877505567,0.0044543429844097,0.0062360801781737,0.1964365256124721,0.021826280623608,0.2708240534521158,S05,student,1
