assignee,cohort,promoted,n_pts,acc,err,dur
E05,expert,0,8,0.75,1,102.6952292919159
E05,expert,0,8,0.75,1,90.07497262954712
E05,expert,0,8,0.75,1,95.38014125823976
E06,expert,0,8,0.75,1,987.8388330936432
E06,expert,0,7,0.7142857142857143,1,869.1626889705658
E06,expert,0,8,0.5,1,552.7478497028351
E06,expert,0,8,0.875,1,726.6044409275055
E06,expert,0,9,0.6666666666666666,1,662.8436226844788
E06,expert,0,8,0.75,1,186.21969318389893
E06,expert,0,8,0.75,1,228.6568772792816
E06,expert,0,7,0.8571428571428571,1,281.3638837337494
E07,expert,0,8,1.0,0,707.3169317245483
E07,expert,0,7,0.8571428571428571,1,198.23477125167847
E07,expert,0,8,1.0,0,259.1137201786041
E07,expert,0,8,1.0,0,795.9973356723785
E07,expert,0,8,1.0,0,114.13741207122804
E07,expert,0,8,1.0,0,275.5644037723541
E07,expert,0,8,1.0,0,115.17118883132936
E07,expert,0,8,1.0,0,107.29962754249571
E07,expert,0,8,1.0,0,104.84986758232117
E07,expert,0,8,1.0,0,165.99837160110474
E07,expert,0,8,1.0,0,119.61947107315063
E07,expert,0,8,1.0,0,149.7810263633728
E07,expert,0,8,1.0,0,261.6335525512696
E07,expert,0,8,1.0,0,219.30148434638977
E07,expert,0,7,1.0,0,147.2103350162506
E07,expert,0,8,1.0,0,184.88681411743164
E07,expert,0,8,1.0,0,200.75886607170105
E07,expert,0,8,1.0,0,122.97061109542848
E07,expert,0,8,1.0,0,264.57259488105774
E07,expert,0,8,0.875,1,618.5591187477112
E07,expert,0,8,1.0,0,469.461403131485
E07,expert,0,8,0.875,1,221.6864414215088
E07,expert,0,8,1.0,0,244.12860465049744
E07,expert,0,8,1.0,0,224.28771877288816
E07,expert,0,8,1.0,0,294.35068249702454
E07,expert,0,8,1.0,0,142.69657611846924
E07,expert,0,8,1.0,0,103.53482294082642
E08,expert,0,8,1.0,0,151.78153109550476
E08,expert,0,7,0.8571428571428571,1,121.9717137813568
E08,expert,0,8,1.0,0,213.9788784980774
E08,expert,0,8,1.0,0,211.15137314796448
E08,expert,0,8,1.0,0,132.05767369270325
E08,expert,0,8,1.0,0,186.63430953025815
E08,expert,0,8,1.0,0,100.6999900341034
E08,expert,0,8,1.0,0,125.90773224830627
E08,expert,0,8,1.0,0,143.4085636138916
E08,expert,0,8,1.0,0,51.59671545028687
E08,expert,0,8,1.0,0,99.57689237594604
E08,expert,0,8,1.0,0,101.7616045475006
E08,expert,0,8,1.0,0,110.16333484649658
E08,expert,0,8,1.0,0,115.86193823814392
E08,expert,0,8,1.0,0,106.75781655311584
S01,student,0,8,1.0,0,4866.219797849655
S01,student,0,7,0.8571428571428571,1,441.1225619316101
S01,student,0,8,1.0,0,1992.556935310364
S01,student,0,8,1.0,0,865.4860155582428
S01,student,0,8,1.0,0,169.22794222831726
S01,student,0,8,1.0,0,1013.9498913288116
S01,student,0,8,1.0,0,793.8684182167053
S01,student,0,8,1.0,0,592.0016117095947
S01,student,0,8,1.0,0,1193.6634485721588
S01,student,0,8,1.0,0,361.9309208393097
S01,student,0,8,1.0,0,422.2014157772064
S01,student,0,8,1.0,0,427.5402691364288
S01,student,0,8,1.0,0,182.24203968048096
S01,student,0,8,1.0,0,275.4306030273437
S03,student,1,8,1.0,0,2107.567917108536
S03,student,1,7,0.8571428571428571,1,255.2353308200836
S03,student,1,8,1.0,0,378.2755992412567
S03,student,1,8,1.0,0,179.91055035591123
S03,student,1,8,1.0,0,167.8226134777069
S03,student,1,8,1.0,0,384.45977115631104
S03,student,1,8,1.0,0,142.88652300834656
S03,student,1,8,1.0,0,206.04264211654663
S03,student,1,8,1.0,0,294.5593812465668
S03,student,1,8,1.0,0,196.63775086402893
S03,student,1,8,1.0,0,337.7819697856903
S03,student,1,8,1.0,0,254.5110239982605
S03,student,1,8,1.0,0,261.6479697227478
S03,student,1,8,1.0,0,120.50897526741028
S03,student,1,8,1.0,0,171.4266357421875
S04,student,0,8,0.5,1,228.60053825378415
S04,student,0,7,0.8571428571428571,1,679.9231657981873
S04,student,0,8,1.0,0,163.51807594299316
S04,student,0,8,1.0,0,331.6410202980041
S04,student,0,8,0.5,1,291.02400302886963
S04,student,0,8,0.75,1,126.25808548927309
S04,student,0,8,0.75,1,279.8111107349396
S04,student,0,8,0.75,1,190.24691557884216
S04,student,0,8,0.75,1,290.89554166793823
S04,student,0,8,1.0,0,62.49613547325134
S04,student,0,8,0.75,1,63.634819746017456
S04,student,0,8,0.375,1,72.60764217376709
S04,student,0,8,0.75,1,127.87058305740356
S04,student,0,8,0.75,1,212.67725229263303
S04,student,0,8,0.75,1,192.8783276081085
S04,student,0,8,0.75,1,116.01806640625
S04,student,0,8,0.75,1,96.86460828781128
S04,student,0,8,0.75,1,143.9050087928772
S04,student,0,8,0.75,1,120.83519172668456
S04,student,0,8,0.5,1,66.90919256210327
S04,student,0,8,0.5,1,95.2226631641388
S04,student,0,8,0.625,1,69.098397731781
S04,student,0,8,0.75,1,75.83233785629272
S04,student,0,8,0.75,1,56.92918252944946
S04,student,0,8,0.5,1,93.06797432899477
S04,student,0,8,0.75,1,201.45351028442383
S04,student,0,8,1.0,0,62.82242679595947
S05,student,1,8,1.0,0,366.20627307891846
S05,student,1,7,1.0,0,834.0608325004578
S05,student,1,8,1.0,0,263.7576861381531
S05,student,1,8,1.0,0,344.3129994869232
S05,student,1,8,1.0,0,374.1347420215607
S05,student,1,8,1.0,0,397.1731958389282
S05,student,1,8,1.0,0,243.0775818824768
S05,student,1,8,1.0,0,237.59912419319156
S05,student,1,8,1.0,0,167.96386551856995
S05,student,1,8,1.0,0,201.79043245315552
S05,student,1,8,1.0,0,208.1794393062592
S05,student,1,8,1.0,0,229.20679759979248
S05,student,1,8,1.0,0,307.48737692832947
S05,student,1,8,1.0,0,291.9147927761078
S05,student,1,8,1.0,0,192.47830963134768
S05,student,1,8,1.0,0,362.7014353275299
S05,student,1,8,1.0,0,474.5816948413849
S05,student,1,8,1.0,0,476.326078414917
S05,student,1,8,1.0,0,217.88390398025516
S05,student,1,8,1.0,0,236.36444067955017
S05,student,1,8,0.875,1,516.0612576007843
S05,student,1,8,1.0,0,365.5600953102112
S05,student,1,8,0.875,1,4.727765083312988
S05,student,1,8,1.0,0,246.59820103645325
S05,student,1,8,1.0,0,213.4883618354797
S05,student,1,8,1.0,0,349.2058148384094
S05,student,1,8,1.0,0,241.1618065834045
S05,student,1,8,1.0,0,253.6746859550476
S07,student,0,8,0.75,1,1281.535718917847
S07,student,0,7,0.8571428571428571,1,446.35786509513855
S07,student,0,8,1.0,0,1338.3120198249817
S07,student,0,8,1.0,0,326.3109014034271
S07,student,0,8,1.0,0,342.8841600418091
S07,student,0,8,1.0,0,222.1162347793579
S07,student,0,8,1.0,0,259.48451375961304
S07,student,0,8,1.0,0,224.15130257606504
S07,student,0,8,1.0,0,388.3460123538971
S07,student,0,8,1.0,0,300.93487071990967
S06,student,0,8,0.5,1,1934.532963514328
S06,student,0,7,0.8571428571428571,1,193.91471815109253
S06,student,0,8,0.75,1,202.35875177383423
S06,student,0,8,0.75,1,222.58015513420105
S06,student,0,8,0.75,1,174.78912806510925
S06,student,0,8,0.75,1,108.64994645118712
S06,student,0,8,0.75,1,118.7521789073944
S06,student,0,8,1.0,0,165.21770906448364
S06,student,0,8,0.75,1,125.67180180549622
S06,student,0,8,0.75,1,103.72047162055968
S06,student,0,8,0.75,1,81.83092665672302
S06,student,0,8,1.0,0,486.9818451404572
S06,student,0,8,0.75,1,90.39120888710022
S08,student,0,9,0.7777777777777778,1,1405.7862553596497
S08,student,0,8,0.875,1,805.4897181987762
S08,student,0,8,1.0,0,257.4776887893677
S08,student,0,9,0.6666666666666666,1,439.0513069629669
S08,student,0,8,1.0,0,266.2776460647583
S08,student,0,8,1.0,0,190.80140137672424
S08,student,0,10,0.7,1,1050.5931322574615
S08,student,0,8,1.0,0,496.8067440986633
S08,student,0,9,0.8888888888888888,1,240.2127606868744
S08,student,0,8,1.0,0,266.0270745754242
S08,student,0,8,1.0,0,112.04048824310304
S08,student,0,8,1.0,0,218.74083805084229
S08,student,0,8,1.0,0,228.12023758888245
S08,student,0,8,1.0,0,322.60745072364807
S08,student,0,8,1.0,0,275.45333337783813
S08,student,0,8,1.0,0,292.7185199260712
S08,student,0,8,1.0,0,105.43647074699402
S08,student,0,8,1.0,0,96.83433318138124
S08,student,0,8,1.0,0,193.66787242889404
S08,student,0,9,0.7777777777777778,1,343.50984048843384
S08,student,0,9,0.8888888888888888,1,612.4313488006592
S08,student,0,8,0.875,1,177.81158590316772
S08,student,0,8,1.0,0,124.98218107223512
S08,student,0,8,1.0,0,124.01389288902284
S08,student,0,8,1.0,0,165.95171213150024
S08,student,0,9,1.0,0,152.06660056114197
S08,student,0,8,1.0,0,158.2570674419403
S09,student,0,8,1.0,0,2557.212021112442
S09,student,0,7,0.8571428571428571,1,118.88427472114564
S09,student,0,8,1.0,0,1646.456674337387
S09,student,0,8,1.0,0,2863.748111963272
S09,student,0,8,1.0,0,363.411075592041
S09,student,0,8,0.75,1,91.23002481460573
S09,student,0,8,1.0,0,128.67406964302063
S09,student,0,8,1.0,0,179.45948004722595
S09,student,0,8,1.0,0,94.89313530921936
S09,student,0,8,1.0,0,136.43898510932922
S09,student,0,8,1.0,0,448.3756406307221
S09,student,0,8,0.625,1,301.8213849067688
S09,student,0,8,1.0,0,332.4871933460236
S09,student,0,8,1.0,0,227.8813750743866
S09,student,0,8,1.0,0,414.16676568984985
S09,student,0,8,1.0,0,354.6814286708832
S09,student,0,8,1.0,0,98.12916278839111
S09,student,0,8,1.0,0,1004.0646786689758
S09,student,0,8,1.0,0,93.23303365707396
S09,student,0,8,1.0,0,213.27041220664975
S09,student,0,8,0.75,1,178.092125415802
S09,student,0,8,1.0,0,93.93384790420532
S09,student,0,8,0.875,1,138.4892544746399
S09,student,0,8,1.0,0,76.50235867500305
S09,student,0,8,1.0,0,136.06278038024902
S09,student,0,8,1.0,0,149.25553011894226
S09,student,0,8,1.0,0,93.62299108505248
S10,student,0,8,1.0,0,420.9475483894348
S10,student,0,7,0.8571428571428571,1,209.26399970054624
S10,student,0,8,1.0,0,617.4758574962616
S10,student,0,8,1.0,0,277.269011259079
S10,student,0,8,1.0,0,598.5919082164764
S10,student,0,8,1.0,0,196.43259167671204
S10,student,0,8,1.0,0,197.00258207321167
S10,student,0,8,1.0,0,193.96121263504028
S10,student,0,8,1.0,0,101.7747447490692
S10,student,0,8,1.0,0,64.21563529968262
S10,student,0,8,1.0,0,81.53886890411377
S10,student,0,8,1.0,0,107.20426177978516
S10,student,0,8,1.0,0,54.69772338867188
S11,student,0,8,1.0,0,516.333829164505
S11,student,0,7,0.8571428571428571,1,228.2135365009308
S11,student,0,8,1.0,0,314.7878215312958
S11,student,0,8,1.0,0,501.175008058548
S11,student,0,8,1.0,0,341.7229595184326
S11,student,0,8,1.0,0,445.0976686477661
S11,student,0,8,1.0,0,281.4921720027924
S11,student,0,8,1.0,0,234.8591561317444
S11,student,0,8,1.0,0,237.0664176940918
S11,student,0,8,1.0,0,198.76733994483948
S11,student,0,8,1.0,0,336.7136332988739
S11,student,0,8,1.0,0,281.2294154167176
S11,student,0,8,1.0,0,409.704332113266
S11,student,0,8,1.0,0,311.5045690536499
S11,student,0,8,1.0,0,267.07574558258057
S11,student,0,8,1.0,0,507.542183637619
S11,student,0,8,1.0,0,315.98997354507446
S11,student,0,8,1.0,0,665.4941534996033
S11,student,0,9,0.8888888888888888,1,1133.1339228153229
S11,student,0,8,1.0,0,311.61847162246704
S11,student,0,9,0.6666666666666666,1,570.8022780418396
S11,student,0,8,1.0,0,296.71950101852417
S11,student,0,8,0.875,1,395.68438935279846
S11,student,0,8,1.0,0,437.7554285526276
S11,student,0,8,1.0,0,315.72851300239563
S11,student,0,8,1.0,0,286.8217251300812
S11,student,0,8,1.0,0,436.5623097419739
S11,student,0,8,1.0,0,300.3198800086975
S13,student,0,8,1.0,0,311.2317090034485
S13,student,0,7,0.8571428571428571,1,718.6861445903778
S13,student,0,8,1.0,0,869.964448928833
S13,student,0,8,1.0,0,190.94581842422485
S13,student,0,8,1.0,0,74.16754364967346
S13,student,0,8,1.0,0,1143.2786602973938
S13,student,0,8,1.0,0,1880.8732659816744
S13,student,0,8,1.0,0,226.77807569503784
S13,student,0,8,1.0,0,306.8649137020111
S13,student,0,8,1.0,0,141.7321708202362
S13,student,0,8,1.0,0,357.7160985469818
S13,student,0,8,1.0,0,516.9151263237
S13,student,0,8,1.0,0,249.7830102443695
S13,student,0,8,1.0,0,1108.3093202114103
S13,student,0,8,1.0,0,206.79409050941467
S13,student,0,8,1.0,0,88.8764705657959
S13,student,0,8,0.875,1,329.92918062210083
S13,student,0,8,1.0,0,200.74773263931277
S13,student,0,8,0.875,1,180.55846452713013
S13,student,0,8,1.0,0,69.61139440536499
S13,student,0,8,1.0,0,142.7385950088501
S13,student,0,8,1.0,0,231.85440015792847
S13,student,0,8,1.0,0,311.3744456768036
S18,student,0,8,0.875,1,741.5098605155945
S18,student,0,7,0.8571428571428571,1,156.93434929847717
S18,student,0,8,0.875,1,76.565096616745
S18,student,0,8,1.0,0,264.8635883331299
S18,student,0,8,0.875,1,213.2515223026276
S18,student,0,8,0.875,1,120.49506497383118
S18,student,0,8,1.0,0,248.9459421634674
S18,student,0,8,1.0,0,131.72497034072876
S18,student,0,8,1.0,0,211.44418001174927
S18,student,0,8,0.75,1,94.83686184883118
S18,student,0,8,1.0,0,105.55527567863464
S18,student,0,8,0.875,1,215.6041963100433
S18,student,0,8,0.75,1,112.76991844177246
S18,student,0,8,0.875,1,79.99758768081665
S18,student,0,8,1.0,0,71.69149112701416
S18,student,0,8,1.0,0,144.46654200553894
S18,student,0,8,1.0,0,195.2990596294403
S18,student,0,8,1.0,0,93.17193603515624
S18,student,0,8,1.0,0,62.44061326980591
S18,student,0,8,1.0,0,77.59516143798828
S18,student,0,8,0.875,1,143.33623504638672
S18,student,0,8,1.0,0,241.43529629707336
S18,student,0,8,0.875,1,94.09365797042848
S18,student,0,8,1.0,0,109.8730401992798
S18,student,0,8,1.0,0,128.37397003173828
S18,student,0,8,0.875,1,199.94967460632324
S18,student,0,8,1.0,0,77.54640793800354
S18,student,0,8,1.0,0,65.5593798160553
S19,student,0,8,0.875,1,6.141379117965698
S19,student,0,7,0.8571428571428571,1,1231.603370666504
S19,student,0,8,0.875,1,556.517406463623
S19,student,0,8,1.0,0,990.2822370529176
S19,student,0,8,1.0,0,350.2830009460449
S19,student,0,8,0.875,1,247.1748733520508
S19,student,0,8,1.0,0,538.5597088336945
S19,student,0,8,1.0,0,234.0377447605133
S19,student,0,8,0.875,1,554.7307329177856
S19,student,0,8,1.0,0,141.2615511417389
S19,student,0,8,1.0,0,627.4189298152924
S19,student,0,8,1.0,0,51.78381633758545
S19,student,0,8,1.0,0,382.6297070980072
S19,student,0,8,1.0,0,197.40715074539185
S19,student,0,8,1.0,0,772.3689157962799
S20,student,1,8,1.0,0,692.9882204532623
S20,student,1,7,0.8571428571428571,1,219.97736263275144
S20,student,1,8,0.875,1,132.12796449661255
S20,student,1,8,1.0,0,1366.9941306114197
S20,student,1,8,0.875,1,940.1817049980164
S20,student,1,8,0.875,1,287.99845361709595
S20,student,1,8,1.0,0,1354.134019613266
S20,student,1,8,0.875,1,671.6710698604584
S20,student,1,8,1.0,0,376.2217252254486
S20,student,1,8,1.0,0,628.1203763484955
S20,student,1,8,1.0,0,248.420914888382
S20,student,1,8,1.0,0,381.9533002376557
S20,student,1,8,0.625,1,883.8164277076721
S20,student,1,8,1.0,0,138.4986755847931
S21,student,0,8,1.0,0,402.1598780155182
S21,student,0,7,0.8571428571428571,1,693.5471742153168
S21,student,0,8,1.0,0,1272.2226688861847
S21,student,0,8,1.0,0,443.7950117588043
S21,student,0,8,1.0,0,800.640465259552
S21,student,0,8,1.0,0,348.7447123527527
S21,student,0,8,1.0,0,1057.869143486023
S21,student,0,8,1.0,0,458.30786991119385
S21,student,0,8,0.875,1,617.4585185050964
S21,student,0,8,1.0,0,132.48205590248108
S21,student,0,8,1.0,0,254.61451172828677
S21,student,0,8,1.0,0,330.76401376724243
S21,student,0,8,1.0,0,165.90605211257937
S21,student,0,8,1.0,0,282.4507169723511
S22,student,1,8,1.0,0,486.04191422462463
S22,student,1,7,1.0,0,782.7671093940735
S22,student,1,8,1.0,0,373.9189867973328
S22,student,1,8,1.0,0,348.75485038757324
S22,student,1,8,1.0,0,200.92655611038208
S22,student,1,8,1.0,0,546.1940155029297
S22,student,1,8,1.0,0,233.1907949447632
S22,student,1,8,1.0,0,211.54838633537287
S22,student,1,8,1.0,0,151.8212366104126
S22,student,1,8,1.0,0,239.04071307182312
S22,student,1,8,1.0,0,142.85262060165405
S22,student,1,8,1.0,0,200.5938699245453
S22,student,1,8,1.0,0,234.3970377445221
S22,student,1,8,1.0,0,1753.5666995048523
S22,student,1,9,0.8888888888888888,1,1031.893445968628
S22,student,1,8,1.0,0,495.8645548820496
S22,student,1,8,1.0,0,470.1885607242584
S22,student,1,8,1.0,0,242.4971613883972
S22,student,1,8,1.0,0,320.56293177604675
S22,student,1,8,1.0,0,261.6341679096222
S22,student,1,8,0.875,1,277.18612718582153
S22,student,1,8,1.0,0,349.4358711242676
S22,student,1,8,0.875,1,368.154036283493
S22,student,1,8,1.0,0,121.50970888137816
S22,student,1,8,1.0,0,297.357031583786
S22,student,1,8,1.0,0,390.7588939666748
S22,student,1,8,1.0,0,307.45666790008545
S22,student,1,8,1.0,0,136.7079381942749
S23,student,0,8,1.0,0,212.0653026103973
S23,student,0,7,1.0,0,314.0805850028992
S23,student,0,8,1.0,0,123.84285974502563
S23,student,0,8,1.0,0,374.6400444507599
S23,student,0,8,1.0,0,123.81687927246094
S23,student,0,8,1.0,0,153.21834778785706
S23,student,0,8,1.0,0,110.59890007972716
S23,student,0,8,1.0,0,95.4329285621643
S23,student,0,8,1.0,0,145.46273922920227
S23,student,0,8,1.0,0,130.17539620399475
S23,student,0,8,1.0,0,225.02616786956787
S23,student,0,8,1.0,0,284.41606092453003
S23,student,0,8,1.0,0,237.86003875732425
S23,student,0,8,1.0,0,161.4723734855652
S23,student,0,8,1.0,0,134.65971732139587
S23,student,0,8,1.0,0,223.6110773086548
S24,student,1,8,1.0,0,197.664790391922
S24,student,1,7,0.8571428571428571,1,173.44854402542114
S24,student,1,8,1.0,0,297.88557863235474
S24,student,1,8,1.0,0,136.85293984413147
S24,student,1,8,1.0,0,118.61047983169556
S24,student,1,8,1.0,0,109.73757600784302
S24,student,1,8,1.0,0,97.72556638717651
S24,student,1,8,1.0,0,90.39747428894044
S24,student,1,8,1.0,0,111.56052374839784
S24,student,1,8,1.0,0,72.10464668273926
S24,student,1,8,1.0,0,84.69561624526978
S24,student,1,8,1.0,0,109.12756586074828
S24,student,1,8,1.0,0,101.46515655517578
S24,student,1,8,1.0,0,126.73002934455872
S24,student,1,8,1.0,0,109.23748660087584
S24,student,1,8,1.0,0,84.8821849822998
S24,student,1,8,0.875,1,646.5873947143555
S24,student,1,8,1.0,0,166.59028959274292
S24,student,1,8,0.875,1,221.6497230529785
S24,student,1,8,1.0,0,163.14508056640625
S24,student,1,8,1.0,0,116.2749183177948
S24,student,1,8,1.0,0,108.53791356086732
S24,student,1,8,1.0,0,138.54057240486145
S24,student,1,8,1.0,0,98.18403124809264
S26,student,1,9,0.8888888888888888,1,902.4508512020112
S26,student,1,7,1.0,0,181.88881540298465
S26,student,1,8,1.0,0,165.33233308792114
S26,student,1,8,1.0,0,488.2769601345062
S26,student,1,8,1.0,0,340.5588393211365
S26,student,1,8,1.0,0,471.4829099178314
S26,student,1,8,1.0,0,338.7242147922516
S26,student,1,8,1.0,0,133.32457900047302
