feature,gini,perm
pct_annotate,0.152105890696666,0.2878614588407405
log_tempo,0.1354245788217042,0.1525292568571878
total_events,0.1284897111929285,0.128325428254397
pct_navigate,0.1053980624852973,0.1035193998958924
seg_to_nav,0.1064811682819061,0.0979541083475334
pct_segment,0.0996711584172594,0.0972287505669589
events_per_session,0.1077104346742889,0.0950646881709376
nav_seg_ratio,0.0929330367728602,0.0921991382313196
seg_to_seg,0.071785958657089,0.0608111015285795
