assignee,cohort,promoted,seg_id,n_pts,acc,err,dur,f_spine,f_nucleus,f_dendrite,f_axon,f_soma
E02,expert,0,864691135937286404,8,1.0,0,74.54715156555176,0.25,0.125,0.25,0.25,0.125
E02,expert,0,864691136812081779,8,1.0,0,85.51790881156921,0.25,0.125,0.25,0.25,0.125
E02,expert,0,864691135609594119,8,1.0,0,84.42865777015686,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135104203853,8,1.0,0,186.0673136711121,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135517422218,7,1.0,0,167.0084934234619,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.1428571428571428
E03,expert,0,864691135753932237,8,1.0,0,139.55203795433044,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135367058169,8,1.0,0,236.50774550437927,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135293126156,8,1.0,0,234.03910183906555,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691136134678667,8,1.0,0,159.14434504508972,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135974639471,8,1.0,0,369.2901985645294,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135953898760,8,1.0,0,98.39323019981384,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135293324812,8,1.0,0,98.73552060127258,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135609687047,8,1.0,0,107.7111599445343,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691136951664863,8,1.0,0,168.0137436389923,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691136008689326,8,1.0,0,122.46859741210938,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691136023889209,8,1.0,0,105.78684139251708,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135564752471,8,1.0,0,121.92614984512328,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691136011067043,8,1.0,0,2.271161794662476,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691136378815445,8,1.0,0,219.2619376182556,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135915343462,8,1.0,0,130.83475494384766,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135462420637,8,1.0,0,131.07978343963623,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135775906989,8,1.0,0,148.24761939048767,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691136925601354,8,0.875,1,299.0087523460388,0.375,0.125,0.125,0.25,0.125
E03,expert,0,864691135415666362,8,1.0,0,226.73402857780457,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691136378859477,8,0.875,1,144.16122579574585,0.375,0.125,0.125,0.25,0.125
E03,expert,0,864691136309871706,8,1.0,0,110.3219437599182,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135772053835,8,1.0,0,106.6838173866272,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135937286404,8,1.0,0,151.91926074028015,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691136812081779,8,1.0,0,154.4824984073639,0.25,0.125,0.25,0.25,0.125
E03,expert,0,864691135609594119,8,1.0,0,151.23874163627625,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135104203853,8,1.0,0,160.11455821990967,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135517422218,7,0.8571428571428571,1,171.42484951019287,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.1428571428571428
E04,expert,0,864691135753932237,8,1.0,0,131.3536126613617,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135367058169,8,1.0,0,189.06042075157168,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135293126156,8,1.0,0,74.42385149002075,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691136134678667,8,1.0,0,135.1983721256256,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135974639471,8,1.0,0,84.39804005622864,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135953898760,9,0.8888888888888888,1,121.09822583198547,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111
E04,expert,0,864691135293324812,8,1.0,0,112.14111471176147,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135609687047,8,1.0,0,90.4248034954071,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691136951664863,8,1.0,0,165.37421250343323,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691136008689326,8,1.0,0,96.8153383731842,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691136023889209,8,1.0,0,120.82642459869383,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135564752471,8,1.0,0,100.18823719024658,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691136011067043,8,1.0,0,67.37266635894775,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135584074360,8,1.0,0,63.77363395690918,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135915343462,8,1.0,0,95.80952095985413,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135462420637,8,1.0,0,103.72782731056212,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135775906989,8,1.0,0,84.65394854545593,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691136925601354,8,0.875,1,229.23358011245728,0.375,0.125,0.125,0.25,0.125
E04,expert,0,864691135415666362,8,1.0,0,84.72329616546631,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691136378859477,8,0.875,1,444.8801476955414,0.375,0.125,0.125,0.25,0.125
E04,expert,0,864691136309871706,8,1.0,0,83.67277312278748,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135772053835,8,1.0,0,65.78633093833923,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135937286404,8,1.0,0,121.66408896446228,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691136812081779,8,1.0,0,84.62673330307007,0.25,0.125,0.25,0.25,0.125
E04,expert,0,864691135609594119,8,1.0,0,87.32734060287476,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135104203853,8,0.75,1,370.3846504688263,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135753932237,8,0.75,1,283.1127631664276,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135367058169,8,0.75,1,185.60065388679504,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135293126156,8,0.75,1,106.36445260047913,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691136134678667,8,0.75,1,175.6501076221466,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135974639471,8,0.75,1,87.97999143600464,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135953898760,8,0.75,1,69.35975050926208,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135293324812,8,0.75,1,98.32450675964355,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135609687047,8,0.75,1,84.64270639419556,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691136951664863,8,0.75,1,76.34806060791016,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691136008689326,8,0.75,1,176.35296726226807,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691136023889209,8,0.75,1,73.91405296325684,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135564752471,8,0.75,1,157.02944231033325,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691136011067043,8,0.75,1,264.94689106941223,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135584074360,8,0.75,1,129.2029595375061,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135915343462,8,0.75,1,75.77857208251953,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135462420637,8,0.75,1,106.21247029304504,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135775906989,8,0.75,1,83.76214694976807,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691136925601354,8,0.75,1,122.40754532814026,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135415666362,8,0.75,1,98.8694145679474,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691136309871706,8,0.75,1,96.23964071273804,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135772053835,8,0.75,1,108.59512448310852,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135937286404,8,0.75,1,102.6952292919159,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691136812081779,8,0.75,1,90.07497262954712,0.25,0.125,0.25,0.25,0.125
E05,expert,0,864691135609594119,8,0.75,1,95.38014125823976,0.25,0.125,0.25,0.25,0.125
E06,expert,0,864691135104203853,8,0.75,1,987.8388330936432,0.25,0.125,0.25,0.25,0.125
